"","Threshold","ModuleNumber","MeanVarExp","MinVarExp","MaxVarExp"
"1",0.05,94,0.54996945290797,0.138707414220866,0.871439789644645
"2",0.1,92,0.542835139517324,0.138707414220866,0.855191511334387
"3",0.15,89,0.535547180211698,0.138707414220866,0.855191511334387
"4",0.2,84,0.525036953365954,0.138707414220866,0.809667867422458
"5",0.25,83,0.52099750131282,0.138707414220866,0.809667867422458
"6",0.3,77,0.511323618167683,0.138707414220866,0.705204280828188
"7",0.35,72,0.506934721739962,0.138707414220866,0.677879556653053
"8",0.4,68,0.507797503647878,0.138707414220866,0.677879556653053
"9",0.45,51,0.474723367557525,0.138707414220866,0.677879556653053
"10",0.5,38,0.459406857944762,0.138707414220866,0.644691321303437
"11",0.55,35,0.452228788738923,0.138707414220866,0.644691321303437
"12",0.6,33,0.439434092344577,0.138707414220866,0.569757636497804
"13",0.65,30,0.433621904831835,0.138707414220866,0.606325366962007
"14",0.7,24,0.418332398019847,0.138707414220866,0.569757636497804
"15",0.75,23,0.416952974112256,0.138707414220866,0.569757636497804
"16",0.8,23,0.411696582973495,0.138707414220866,0.569757636497804
"17",0.85,19,0.392518867686944,0.138707414220866,0.546241202747174
"18",0.9,11,0.353466212300134,0.138707414220866,0.51130111047354
"19",0.95,8,0.322220453472841,0.138707414220866,0.51130111047354
"20",1,9,0.342482289188279,0.138707414220866,0.51130111047354
