"","Threshold","ModuleNumber","MeanNumGenes","MinNumGenes","MaxNumGenes","MeanVarExp","MinVarExp","MaxVarExp"
"1",0.05,95,244.589473684211,31,2295,0.491733923488855,0.255868061125899,0.692796605649949
"2",0.1,92,252.565217391304,31,2295,0.490025411830843,0.276174319768034,0.692796605649949
"3",0.15,85,273.364705882353,31,2295,0.489291507567613,0.276174319768034,0.692796605649949
"4",0.2,71,327.267605633803,31,4262,0.481664667654817,0.29662452826492,0.692796605649949
"5",0.25,58,400.620689655172,31,4262,0.47148430557443,0.286958039243882,0.692796605649949
"6",0.3,49,474.204081632653,37,4262,0.452072876513492,0.286958039243882,0.630638785444534
"7",0.35,39,595.794871794872,49,5021,0.436699149515682,0.262712661622646,0.630638785444534
"8",0.4,29,801.241379310345,55,6181,0.410580233262474,0.247026808368207,0.606672409631272
"9",0.45,23,1010.26086956522,55,6329,0.392264200329589,0.245526053950873,0.539478488006388
"10",0.5,21,1106.47619047619,55,6487,0.390429877579689,0.244464161886525,0.539478488006388
"11",0.55,19,1222.94736842105,55,7492,0.378873575136479,0.240671878173258,0.474808564471326
"12",0.6,15,1549.06666666667,86,7654,0.368884553822901,0.23729443854301,0.539478488006388
"13",0.65,10,2323.6,86,9410,0.325615117417308,0.205170536432575,0.474808564471326
"14",0.7,10,2323.6,86,9410,0.32852653141403,0.205170536432575,0.474808564471326
"15",0.75,7,3319.42857142857,86,10883,0.32362312130707,0.173266838325357,0.474808564471326
"16",0.8,5,4647.2,86,11364,0.298049046604708,0.168710827607695,0.474808564471326
"17",0.85,3,7745.33333333333,629,11702,0.196969682834512,0.166186746125899,0.234083840604397
"18",0.9,3,7745.33333333333,543,14576,0.215937932966262,0.153332168755587,0.263887938675502
"19",0.95,2,11618,8660,14576,0.185713012963486,0.153332168755587,0.218093857171385
"20",1,2,11618,8660,14576,0.185713012963486,0.153332168755587,0.218093857171385
