"","NumMods","NumUnAssigned","MeanGeneNum","MinGeneNum","MaxGeneNum","MeanVarExp","MeanVarExp_noMin","MinVarExp","MinVarExp_noMin","MaxVarExp","pam","split"
"1",26,"NA",893.692307692308,81,3822,0.42335149012313,0.430195846665229,0.252242576570643,0.276693745535408,0.616129960027881,"TRUE",0
"2",38,"NA",611.473684210526,68,3430,0.449946227195082,0.455145060260535,0.257589403773346,0.286305080636271,0.624957337707954,"TRUE",1
"3",60,"NA",387.266666666667,39,3233,0.473706667207156,0.476869261263749,0.287113617868124,0.287662252868452,0.648690014285527,"TRUE",2
"4",97,"NA",239.546391752577,31,2295,0.492811348531496,0.495279507775304,0.255868061125899,0.276174319768034,0.692796605649949,"TRUE",3
"5",118,"NA",196.915254237288,30,2269,0.496626503026854,0.498731985887387,0.250285008344513,0.270488344485152,0.692796605649949,"TRUE",4
"6",26,"16911",243.269230769231,41,585,0.593393958636159,0.610402414881826,0.151174096248801,0.345919269924067,0.791504094019085,"FALSE",0
"7",38,"15352",207.473684210526,41,585,0.583908584610642,0.595376395819364,0.148131758679221,0.328185702496236,0.791504094019085,"FALSE",1
"8",60,"14643",143.216666666667,31,538,0.583952350410973,0.591114689482705,0.154212006107064,0.328185702496236,0.791504094019085,"FALSE",2
"9",97,"12562",110.041237113402,30,538,0.569243617085201,0.573443246448306,0.161879568864019,0.342732261849913,0.797554287809499,"FALSE",3
"10",118,"12189",93.6186440677966,30,538,0.559084411995987,0.562444616385965,0.162580293978575,0.342732261849913,0.797554287809499,"FALSE",4
